은행코드,은행명,상품명,상품개요_설명,계약기간개월수_최소구간,계약기간개월수_최대구간,가입금액_최소구간,가입금액_최대구간,기본금리
D07,머스트삼일저축은행,정기예금 복리식,일정금액을 일정기간 동안 예치하여 예치기간이 만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합,1개월 이상,3개월 미만,10만원 이상,제한없음,1.0
007,수협은행,헤이(Hey)정기예금,우대금리 조건없이 간단하며 이벤트시 특별금리를 제공하는 비대면 정기예금,12개월,12개월,십만원 이상,2억원 이하,3.95
007,수협은행,헤이(Hey)정기예금,우대금리 조건없이 간단하며 이벤트시 특별금리를 제공하는 비대면 정기예금,6개월 이상,12개월 미만,십만원 이상,2억원 이하,3.8
A11,HB 저축은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,24개월 이상,36개월 미만,10만원 이상,제한없음,3.6
032,부산은행,메리트정기예금,시장실세금리에 연동한 약정금리를 만기일까지 적용하는 확정금리 정기예금으로 단기 고금리 상품입,3개월 이상,6개월 미만,5백만원,제한없음,2.35
032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",24개월 이상,36개월 미만,100원,제한없음,2.8
032,부산은행,LIVE정기예금,특판 전용 정기예금,12개월 이상,24개월 미만,1천만원,제한없음,2.65
034,광주은행,행운박스예금,「행운박스」에 수시「이벤트」를 시행·판매하는 개인전용 정기예금,3개월,3개월,1백만원 이상,1억원 이하,3.1
D02,대백저축은행,애플정기예금복리식(인터넷뱅킹),목돈을 운영할 수 있는 예금상품 (만기일시 원리금 지급),12개월,12개월,"100,000원 이상",제한없음,4.2
032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",12개월 이상,24개월 미만,100원,제한없음,2.65
E05,센트럴저축은행,e-정기예금(단리식),일정기간을 정하여 자금을 예치하고 확정금리로 운영되는 상품,3개월 이상,6개월 미만,10만원 이상,제한없음,2.1
E04,삼호저축은행,정기예금(단리식),일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 만료되었을때 정해진 이자를 받는 상품,24개월 이상,36개월 이하,10만원 이상,제한없음,3.7
004,국민은행,일반정기예금,목돈을 일정기간동안 예치하여 안정적인 수익을 목적으로 하는 일시예치식 예금,6개월 이상,12개월 미만,10만원,제한없음,2.3
032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",36개월 이상,60개월 이하,100원,제한없음,2.75
032,부산은행,메리트정기예금,시장실세금리에 연동한 약정금리를 만기일까지 적용하는 확정금리 정기예금으로 단기 고금리 상품입,12개월,12개월,5백만원,제한없음,2.75
032,부산은행,메리트정기예금,시장실세금리에 연동한 약정금리를 만기일까지 적용하는 확정금리 정기예금으로 단기 고금리 상품입,1개월 이상,3개월 미만,5백만원,제한없음,2.15
032,부산은행,LIVE정기예금,특판 전용 정기예금,3개월 이상,6개월 미만,1천만원,제한없음,2.35
A06,OSB저축은행,단리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",24개월 이상,36개월 이하,10만원,제한없음,3.7
A10,민국저축은행,e-행복정기예금단리식,인터넷뱅킹을 이용하여 가입가능한 목돈굴리기 상품입니다.,6개월 이상,12개월 미만,10만원,제한없음,2.5
A06,OSB저축은행,단리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",1개월 이상,3개월 미만,10만원,제한없음,1.2
A06,OSB저축은행,단리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",3개월 이상,6개월 미만,10만원,제한없음,1.9
A10,민국저축은행,e-행복정기예금단리식,인터넷뱅킹을 이용하여 가입가능한 목돈굴리기 상품입니다.,12개월 이상,18개월 미만,10만원,제한없음,3.8
A10,민국저축은행,e-행복정기예금복리식,인터넷뱅킹을 이용하여 가입가능한 목돈굴리기 상품입니다.,3개월 이상,6개월 미만,10만원,제한없음,1.8
F05,오투저축은행,e-복리정기예금,일정기간 동안 목돈을 예치하고 만기에 이자를 지급 받는 거치식 상품,6개월이상,12개월미만,10만원이상,제한없음,3.5
A10,민국저축은행,e-행복정기예금단리식,인터넷뱅킹을 이용하여 가입가능한 목돈굴리기 상품입니다.,3개월 이상,6개월 미만,10만원,제한없음,1.8
B03,남양저축은행,비대면-정기예금복리식,"일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 
만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합",6개월 이상,12개월 미만,10만원,제한없음,3.0
B05,부림저축은행,정기예금(복리식),목돈을 일정기간동안 예치하고 원금과 이자를 함께 받는 목돈 굴리기 상품 (창구 전용),3개월 이상,6개월 미만,10만원,제한없음,2.2
B05,부림저축은행,톡톡정기예금(단리식),"목돈을 일정기간동안 예치하고 매월 이자를 받는 목돈 굴리기 상품
 영업점을 방문하지않고 가입이 가능한 상품입니다.(비대면전용상품)",1개월 이상,3개월 미만,10만원,제한없음,2.0
D07,머스트삼일저축은행,정기예금 복리식,일정금액을 일정기간 동안 예치하여 예치기간이 만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합,3개월 이상,6개월 미만,10만원 이상,제한없음,1.0
032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",12개월 이상,24개월 미만,100원,제한없음,2.75
032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",36개월 이상,60개월 이하,100원,제한없음,2.85
032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",1개월 이상,3개월 미만,100원,제한없음,2.15
032,부산은행,메리트정기예금,시장실세금리에 연동한 약정금리를 만기일까지 적용하는 확정금리 정기예금으로 단기 고금리 상품입,12개월,12개월,5백만원,제한없음,2.65
032,부산은행,메리트정기예금,시장실세금리에 연동한 약정금리를 만기일까지 적용하는 확정금리 정기예금으로 단기 고금리 상품입,3개월 이상,6개월 미만,5백만원,제한없음,2.45
A17,웰컴저축은행,m - 정기예금 (단리),여유자금을 일정기간 동안 확정금리로 예치하여 이자 수익을 얻을 수 있는 거치식 상품,36개월,36개월,10만원이상,제한없음,3.5
032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",1개월 이상,3개월 미만,100원,제한없음,2.25
F05,오투저축은행,e-정기예금,일정기간 동안 목돈을 예치하고 매월 이자를 지급 받는 거치식 상품,3개월이상,6개월미만,10만원이상,제한없음,3.0
032,부산은행,LIVE정기예금,특판 전용 정기예금,36개월 이상,60개월,1천만원,제한없음,2.75
032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",3개월 이상,6개월 미만,100원,제한없음,2.45
034,광주은행,행운박스예금,「행운박스」에 수시「이벤트」를 시행·판매하는 개인전용 정기예금,24개월,24개월,1백만원 이상,1억원 이하,3.1
F05,오투저축은행,비대면 정기예금(복리),일정기간 동안 목돈을 예치하고 만기에 이자를 지급하는 거치식 상품,24개월이상,36개월이하,10만원이상,제한없음,3.9
F05,오투저축은행,정기예금,일정기간 동안목돈을 예치하고 만기에  이자를 지급 받는 거치식 상품,24개월이상,36개월이하,10만원이상,제한없음,3.9
032,부산은행,LIVE정기예금,특판 전용 정기예금,1개월 이상,3개월 미만,1천만원,제한없음,2.25
034,광주은행,행운박스예금,「행운박스」에 수시「이벤트」를 시행·판매하는 개인전용 정기예금,36개월,36개월,1백만원 이상,1억원 이하,3.0
032,부산은행,LIVE정기예금,특판 전용 정기예금,36개월 이상,60개월,1천만원,제한없음,2.85
039,경남은행,올해는예금(시즌3),신규고객에 우대금리를 제공하는 비대면 정기예금 특판상품,6개월,6개월,1백만원 이상,10억원 이하,2.7
039,경남은행,올해는예금(시즌3),신규고객에 우대금리를 제공하는 비대면 정기예금 특판상품,12개월,12개월,1백만원 이상,10억원 이하,3.05
007,수협은행,일반정기예금,계약기간을 1개월이상 5년이하로 하는 거치식예금,12개월 이상,24개월 미만,1만원 이상,제한없음,2.5
D07,머스트삼일저축은행,정기예금 복리식,일정금액을 일정기간 동안 예치하여 예치기간이 만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합,6개월 이상,12개월 미만,10만원 이상,제한없음,3.0
088,신한은행,Tops보증 정기예금,회전기간 단위로 계약기간 이내에서 이자율이 변경 적용되는 정기예금,12개월 이상,60개월 이하,3백만원 이상,제한없음,2.25
D07,머스트삼일저축은행,정기예금 복리식,일정금액을 일정기간 동안 예치하여 예치기간이 만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합,12개월 이상,24개월 미만,10만원 이상,제한없음,3.8
088,신한은행,Tops보증 정기예금,회전기간 단위로 계약기간 이내에서 이자율이 변경 적용되는 정기예금,12개월 이상,60개월 이하,3백만원 이상,제한없음,2.55
088,신한은행,Tops보증 정기예금,회전기간 단위로 계약기간 이내에서 이자율이 변경 적용되는 정기예금,12개월 이상,60개월 이하,3백만원 이상,제한없음,2.75
088,신한은행,Tops보증 정기예금,회전기간 단위로 계약기간 이내에서 이자율이 변경 적용되는 정기예금,24개월 이상,60개월 이하,3백만원 이상,제한없음,2.85
004,국민은행,일반정기예금,목돈을 일정기간동안 예치하여 안정적인 수익을 목적으로 하는 일시예치식 예금,1개월 이상,3개월 미만,10만원,제한없음,1.65
A09,The-K 저축은행,회전식 정기예금,계약기간 회전주기(매 12개월) 단위로 약정이율이 변동되는 거치식 변동금리 정기예금 상품,36개월,36개월,10만원 이상,제한없음,4.1
D07,머스트삼일저축은행,정기예금 복리식,일정금액을 일정기간 동안 예치하여 예치기간이 만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합,24개월 이상,36개월 미만,10만원 이상,제한없음,2.8
D07,머스트삼일저축은행,정기예금 복리식,일정금액을 일정기간 동안 예치하여 예치기간이 만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합,36개월 이상,60개월 이하,10만원 이상,제한없음,2.8
A09,The-K 저축은행,정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 예금,1개월 이상,3개월 미만,10만원 이상,제한없음,1.0
A09,The-K 저축은행,정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 예금,3개월 이상,6개월 미만,10만원 이상,제한없음,1.1
A09,The-K 저축은행,정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 예금,6개월,6개월,10만원 이상,제한없음,3.2
A09,The-K 저축은행,정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 예금,6개월 초과,9개월 미만,10만원 이상,제한없음,2.7
A09,The-K 저축은행,정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 예금,9개월 이상,12개월 미만,10만원 이상,제한없음,3.8
A09,The-K 저축은행,정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 예금,12개월 이상,18개월 미만,10만원 이상,제한없음,4.1
007,수협은행,일반정기예금,계약기간을 1개월이상 5년이하로 하는 거치식예금,36개월,36개월,1만원 이상,제한없음,2.7
A09,The-K 저축은행,e-정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 온라인가입전용 예금,1개월 이상,3개월 미만,10만원 이상,제한없음,1.0
A09,The-K 저축은행,e-정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 온라인가입전용 예금,3개월 이상,6개월 미만,10만원 이상,제한없음,1.1
020,우리은행,정기예금,원하는 기간동안 자유롭게 목돈 굴리기,24개월 이상,36개월 미만,제한없음,제한없음,2.8
A09,The-K 저축은행,e-정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 온라인가입전용 예금,6개월,6개월,10만원 이상,제한없음,3.2
A09,The-K 저축은행,e-정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 온라인가입전용 예금,6개월 이상,9개월 미만,10만원 이상,제한없음,2.7
A09,The-K 저축은행,e-정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 온라인가입전용 예금,9개월 이상,12개월 미만,10만원 이상,제한없음,3.8
A09,The-K 저축은행,e-정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 온라이가입전용 예금,12개월 이상,18개월 미만,10만원 이상,제한없음,4.1
A09,The-K 저축은행,e-정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 온라인가입전용 예금,18개월 이상,36개월 이하,10만원 이상,제한없음,3.3
A09,The-K 저축은행,e-회전식 정기예금,계약기간 회전주기(매 12개월) 단위로 약정이율이 변동되는 온라인가입전용 거치식 변동금리 정기예금 상품,36개월,36개월,10만원 이상,제한없음,4.1
A11,HB 저축은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,6개월 이상,9개월 미만,10만원 이상,제한없음,3.3
A11,HB 저축은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,9개월 이상,10개월 미만,10만원 이상,제한없음,4.5
A11,HB 저축은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,10개월 이상,12개월 미만,10만원 이상,제한없음,3.3
A11,HB 저축은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,12개월 이상,13개월 미만,10만원 이상,제한없음,4.4
A11,HB 저축은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,13개월 이상,24개월 미만,10만원 이상,제한없음,3.6
A11,HB 저축은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,36개월,36개월,10만원 이상,제한없음,3.6
A19,다올 저축은행,Fi정기예금,일정기간 목돈을 안정적으로 운용하려는 고객을 위한 거치식 예금,1개월 이상,3개월 미만,1십만원 이상,제한없음,2.1
034,광주은행,넋이 예금,넋이 오월 정신을 기억하고 나눔의 가치 실천하는 정기예금,12개월,12개월,1백만원 이상,1억원 이하,2.95
A19,다올 저축은행,Fi정기예금,일정기간 목돈을 안정적으로 운용하려는 고객을 위한 거치식 예금,3개월 이상,6개월 미만,1십만원 이상,제한없음,2.3
A19,다올 저축은행,Fi정기예금,일정기간 목돈을 안정적으로 운용하려는 고객을 위한 거치식 예금,6개월 이상,12개월 미만,1십만원 이상,제한없음,2.5
A19,다올 저축은행,Fi정기예금,일정기간 목돈을 안정적으로 운용하려는 고객을 위한 거치식 예금,12개월,12개월,1십만원 이상,제한없음,3.95
A19,다올 저축은행,Fi정기예금,일정기간 목돈을 안정적으로 운용하려는 고객을 위한 거치식 예금,12개월 초과,24개월 이하,1십만원 이상,제한없음,3.85
A19,다올 저축은행,Fi 리볼빙 정기예금,1년 회전주기마다 자동으로 Fi정기예금 12개월 금리에 금리를 더하여 회전되는 정기예금 상품,36개월,36개월,1십만원 이상,제한없음,4.0
034,광주은행,굿스타트예금,처음 또는 오랜만에 예금이라면! 광주은행에서 굿스타트하세요~ 우대금리 0.4%p,12개월,12개월,1백만원 이상,1억원 이하,3.29
034,광주은행,행운박스예금,「행운박스」에 수시「이벤트」를 시행·판매하는 개인전용 정기예금,12개월,12개월,1백만원 이상,1억원 이하,3.3
D07,머스트삼일저축은행,e-정기예금(단리),일정금액을 일정기간 동안 예치하여 월 단위로 정해진 이자를 받은 상품으로 목돈 운용에 적합,6개월 이상,12개월 미만,10만원 이상,제한없음,4.3
034,광주은행,행운박스예금,「행운박스」에 수시「이벤트」를 시행·판매하는 개인전용 정기예금,1개월,1개월,1백만원 이상,1억원 이하,1.9
034,광주은행,행운박스예금,「행운박스」에 수시「이벤트」를 시행·판매하는 개인전용 정기예금,6개월,6개월,1백만원 이상,1억원 이하,3.2
007,수협은행,헤이(Hey)정기예금,우대금리 조건없이 간단하며 이벤트시 특별금리를 제공하는 비대면 정기예금,3개월 이상,6개월 미만,십만원 이상,2억원 이하,3.6
034,광주은행,넋이 예금,넋이 오월 정신을 기억하고 나눔의 가치 실천하는 정기예금,24개월,24개월,1백만원 이상,1억원 이하,3.15
007,수협은행,일반정기예금,계약기간을 1개월이상 5년이하로 하는 거치식예금,1개월 이상,3개월 미만,1만원 이상,제한없음,2.1
F05,오투저축은행,정기예금,일정기간 동안목돈을 예치하고 만기에  이자를 지급 받는 거치식 상품,6개월이상,12개월미만,10만원이상,제한없음,3.5
F05,오투저축은행,회전식정기예금(복리),회전기간별 약정이율로 복리계산하여 이자 및 원금을 만기시점에 일시지급,36개월,36개월,10만원이상,제한없음,4.3
D07,머스트삼일저축은행,e-정기예금(복리),일정금액을 일정기간 동안 예치하여 예치기간이 만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합,6개월 이상,12개월 미만,10만원 이상,제한없음,4.3
D07,머스트삼일저축은행,e-정기예금(복리),일정금액을 일정기간 동안 예치하여 예치기간이 만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합,12개월,12개월,10만원 이상,제한없음,4.3
F02,상상인플러스저축은행,e-정기예금_단기,"영업점 방문없이 인터넷/스마트폰을 이용해 개설이 가능하며, 일정기간동안 목돈을 예치하고 매월 또는 만기에 이자를 지급 받는 거치식 상품입니다",1개월이상,3개월미만,10만원이상,제한없음,2.21
032,부산은행,LIVE정기예금,특판 전용 정기예금,3개월 이상,6개월 미만,1천만원,제한없음,2.45
032,부산은행,LIVE정기예금,특판 전용 정기예금,12개월 이상,24개월 미만,1천만원,제한없음,2.75
081,하나은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,1개월 이상,3개월 미만,1만원 이상,제한없음,1.85
081,하나은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,3개월 이상,6개월 미만,1만원 이상,제한없음,2.05
032,부산은행,LIVE정기예금,특판 전용 정기예금,6개월 이상,12개월 미만,1천만원,제한없음,2.45
081,하나은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,6개월 이상,12개월 미만,1만원 이상,제한없음,2.15
081,하나은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,12개월 이상,24개월 미만,1만원 이상,제한없음,2.5
081,하나은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,24개월 이상,36개월 미만,1만원 이상,제한없음,2.6
081,하나은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,36개월,36개월,1만원 이상,제한없음,2.7
081,하나은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,48개월,48개월,1만원 이상,제한없음,2.7
081,하나은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,60개월,60개월,1만원 이상,제한없음,2.7
032,부산은행,LIVE정기예금,특판 전용 정기예금,24개월 이상,36개월 미만,1천만원,제한없음,2.7
A05,OK저축은행,OK e-안심앱플러스정기예금,OK모바일뱅킹앱에서 가입할 수 있는 1년 단위 회전식 정기예금,36개월,36개월,10만원 이상,100억원 이하,4.41
003,기업은행,i-ONE 놀이터예금,스탬프 적립에 따라 우대금리를 제공하는 비대면전용 거치식예금 상품,12개월,12개월,1백만원 이상,3천만원까지 (동일인당한도3천만원),3.25
088,신한은행,Tops보증 정기예금,회전기간 단위로 계약기간 이내에서 이자율이 변경 적용되는 정기예금,12개월 이상,60개월 이하,3백만원 이상,제한없음,2.45
A14,신한저축은행,정기예금,목돈을 일정기간 동안 약정금리로 예치하는 목돈굴리기 상품,36개월,36개월,10만원 이상,제한없음,1.8
E05,센트럴저축은행,e-정기예금(복리식),일정기간을 정하여 자금을 예치하고 확정금리로 운영되는 상품,3개월 이상,6개월 미만,10만원 이상,제한없음,2.1
E05,센트럴저축은행,e-정기예금(복리식),일정기간을 정하여 자금을 예치하고 확정금리로 운영되는 상품,1개월 이상,3개월 미만,10만원 이상,제한없음,2.0
A15,애큐온저축은행,애큐온모바일예금,중도해지 손해 없는 고금리 정기예금,12개월,12개월,1백만원 이상,제한없음,3.3
A14,신한저축은행,정기예금,목돈을 일정기간 동안 약정금리로 예치하는 목돈굴리기 상품,3개월,3개월,10만원 이상,제한없음,2.9
A14,신한저축은행,정기예금,목돈을 일정기간 동안 약정금리로 예치하는 목돈굴리기 상품,6개월,6개월,10만원 이상,제한없음,3.0
A14,신한저축은행,정기예금,목돈을 일정기간 동안 약정금리로 예치하는 목돈굴리기 상품,12개월,12개월,10만원 이상,제한없음,3.8
A14,신한저축은행,정기예금,목돈을 일정기간 동안 약정금리로 예치하는 목돈굴리기 상품,24개월,24개월,10만원 이상,제한없음,1.8
A15,애큐온저축은행,찾아쓰는정기예금,중도해지 손해 없는 고금리 정기예금,36개월,36개월,1백만원 이상,제한없음,3.1
D02,대백저축은행,정기예금단리식,여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,1개월 이상,3개월 미만,"100,000원 이상",제한없음,2.9
D02,대백저축은행,정기예금단리식,여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,3개월 이상,6개월 미만,"100,000원 이상",제한없음,3.4
D02,대백저축은행,정기예금단리식,여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,6개월 이상,12개월 미만,"100,000원 이상",제한없음,3.8
D02,대백저축은행,정기예금단리식,여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,12개월,12개월,"100,000원 이상",제한없음,4.5
D02,대백저축은행,정기예금단리식,여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,12개월 초과,36개월 이하,"100,000원 이상",제한없음,2.0
D02,대백저축은행,정기예금복리식,여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,1개월 이상,3개월 미만,"100,000원 이상",제한없음,2.9
D02,대백저축은행,정기예금복리식,여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,3개월 이상,6개월 미만,"100,000원 이상",제한없음,3.4
E05,센트럴저축은행,e-정기예금(단리식),일정기간을 정하여 자금을 예치하고 확정금리로 운영되는 상품,12개월,12개월,10만원 이상,제한없음,3.8
D02,대백저축은행,정기예금복리식,여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,12개월,12개월,"100,000원 이상",제한없음,4.5
D02,대백저축은행,정기예금복리식,여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,12개월 초과,36개월 이하,"100,000원 이상",제한없음,2.0
D02,대백저축은행,애플정기예금단리식(인터넷뱅킹),여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,6개월 이상,12개월 미만,"100,000원 이상",제한없음,3.6
D02,대백저축은행,애플정기예금단리식(인터넷뱅킹),여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,12개월,12개월,"100,000원 이상",제한없음,4.2
D02,대백저축은행,애플정기예금단리식(인터넷뱅킹),여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,12개월 초과,36개월 이하,"100,000원 이상",제한없음,2.0
D02,대백저축은행,애플정기예금복리식(인터넷뱅킹),목돈을 운영할 수 있는 예금상품 (만기일시 원리금 지급),6개월 이상,12개월 미만,"100,000원 이상",제한없음,3.6
D02,대백저축은행,애플정기예금복리식(인터넷뱅킹),목돈을 운영할 수 있는 예금상품 (만기일시 원리금 지급),12개월 초과,36개월 이하,"100,000원 이상",제한없음,2.0
