은행코드,은행명,상품명,상품개요_설명,계약기간개월수_최소구간,계약기간개월수_최대구간,가입금액_최소구간,가입금액_최대구간,기본금리
E04,삼호저축은행,정기예금 단리식(인터넷-모바일),일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 만료되었을때 정해진 이자를 받는 상품,1개월 이상,6개월 미만,10만원 이상,제한없음,1.5
E04,삼호저축은행,정기예금 단리식(인터넷-모바일),일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 만료되었을때 정해진 이자를 받는 상품,6개월 이상,12개월 미만,10만원 이상,제한없음,1.6
E04,삼호저축은행,정기예금 단리식(인터넷-모바일),일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 만료되었을때 정해진 이자를 받는 상품,12개월 이상,24개월 이하,10만원 이상,제한없음,3.8
E05,센트럴저축은행,정기예금(복리식),목돈을 일정기간 동안 예치하고 안정적인 수익을 추구하는 거치식 예금상품,3개월 이상,6개월 미만,10만원 이상,제한없음,2.2
E05,센트럴저축은행,정기예금(단리식),목돈을 일정기간 동안 예치하고 안정적인 수익을 추구하는 거치식 예금상품,1개월 이상,3개월 미만,10만원 이상,제한없음,2.1
E05,센트럴저축은행,정기예금(복리식),목돈을 일정기간 동안 예치하고 안정적인 수익을 추구하는 거치식 예금상품,6개월 이상,12개월 미만,10만원 이상,제한없음,2.4
E05,센트럴저축은행,e-정기예금(복리식),일정기간을 정하여 자금을 예치하고 확정금리로 운영되는 상품,6개월 이상,12개월 미만,10만원 이상,제한없음,2.3
E05,센트럴저축은행,e-정기예금(복리식),일정기간을 정하여 자금을 예치하고 확정금리로 운영되는 상품,12개월,12개월,10만원 이상,제한없음,3.8
020,우리은행,우리 SUPER 정기예금,"만기일을 일, 월 단위로 자유롭게 선택할 수 있으며 10년까지 자동 재예치가 가능한 다양한 기능을 갖춘 개인고객 대상 전용 정기예금",36개월,36개월,1백만원 이상,제한없음,3.3
F02,상상인플러스저축은행,회전정기예금(비대면),"영업점 방문없이 스마트폰을 이용해 개설이 가능하며, 일정기간동안 목돈을 예치하고 매월 또는 만기에 이자를 지급 받는 거치식 상품입니다.",12개월,12개월,10만원이상,제한없음,4.2
004,국민은행,일반정기예금,목돈을 일정기간동안 예치하여 안정적인 수익을 목적으로 하는 일시예치식 예금,12개월 이상,24개월 미만,10만원,제한없음,2.55
020,우리은행,WON플러스 예금,인터넷(스마트)뱅킹 및 텔레뱅킹 등 비대면 채널을 통해 가입 가능한 정기예금,36개월,36개월,1만원 이상,제한없음,3.3
020,우리은행,WON플러스 예금,인터넷(스마트)뱅킹 및 텔레뱅킹 등 비대면 채널을 통해 가입 가능한 정기예금,1개월 이상,3개월 이하,1만원 이상,제한없음,3.0
020,우리은행,WON플러스 예금,인터넷(스마트)뱅킹 및 텔레뱅킹 등 비대면 채널을 통해 가입 가능한 정기예금,3개월이상,6개월미만,1만원 이상,제한없음,3.6
020,우리은행,WON플러스 예금,인터넷(스마트)뱅킹 및 텔레뱅킹 등 비대면 채널을 통해 가입 가능한 정기예금,6개월이상,12개월미만,1만원 이상,제한없음,3.65
020,우리은행,WON플러스 예금,인터넷(스마트)뱅킹 및 텔레뱅킹 등 비대면 채널을 통해 가입 가능한 정기예금,12개월이상,24개월미만,1만원 이상,제한없음,3.68
020,우리은행,WON플러스 예금,인터넷(스마트)뱅킹 및 텔레뱅킹 등 비대면 채널을 통해 가입 가능한 정기예금,24개월이상,36개월미만,1만원 이상,제한없음,3.3
032,부산은행,메리트정기예금,시장실세금리에 연동한 약정금리를 만기일까지 적용하는 확정금리 정기예금으로 단기 고금리 상품입,6개월 이상,12개월 미만,5백만원,제한없음,2.55
020,우리은행,우리 SUPER 정기예금,"만기일을 일, 월 단위로 자유롭게 선택할 수 있으며 10년까지 자동 재예치가 가능한 다양한 기능을 갖춘 개인고객 대상 전용 정기예금",1개월 이상,3개월 미만,1백만원 이상,제한없음,2.75
020,우리은행,우리 SUPER 정기예금,"만기일을 일, 월 단위로 자유롭게 선택할 수 있으며 10년까지 자동 재예치가 가능한 다양한 기능을 갖춘 개인고객 대상 전용 정기예금",3개월 이상,6개월 미만,1백만원 이상,제한없음,2.9
020,우리은행,우리 SUPER 정기예금,"만기일을 일, 월 단위로 자유롭게 선택할 수 있으며 10년까지 자동 재예치가 가능한 다양한 기능을 갖춘 개인고객 대상 전용 정기예금",6개월 이상,12개월 미만,1백만원 이상,제한없음,2.95
020,우리은행,오렌지 정기예금(12차) 자동연장형,"CD금리에 연동되어 3개월마다 금리가 변경되어 적용되는 상품, 시장금리가 상승할 것으로 예상하는 고객에게 적합한 상품",6개월,6개월,제한없음,제한없음,3.09
020,우리은행,오렌지 정기예금(12차) 자동연장형,"CD금리에 연동되어 3개월마다 금리가 변경되어 적용되는 상품, 시장금리가 상승할 것으로 예상하는 고객에게 적합한 상품",12개월,12개월,제한없음,제한없음,3.29
020,우리은행,정기예금,원하는 기간동안 자유롭게 목돈 굴리기,1개월 이상,3개월 미만,제한없음,제한없음,2.2
020,우리은행,정기예금,원하는 기간동안 자유롭게 목돈 굴리기,3개월 이상,6개월 미만,제한없음,제한없음,2.25
020,우리은행,정기예금,원하는 기간동안 자유롭게 목돈 굴리기,12개월 이상,24개월 미만,제한없음,제한없음,2.65
020,우리은행,두루두루정기예금,"1. 회전주기별 금리변동형 정기예금
2. 중도해지시에도 회전주기별로 약정이율 제공",12개월 이상 연단위,제한없음,제한없음,제한없음,2.1
D07,머스트삼일저축은행,e-정기예금(단리),일정금액을 일정기간 동안 예치하여 월 단위로 정해진 이자를 받은 상품으로 목돈 운용에 적합,12개월,12개월,10만원 이상,제한없음,4.3
004,국민은행,일반정기예금,목돈을 일정기간동안 예치하여 안정적인 수익을 목적으로 하는 일시예치식 예금,24개월 이상,36개월 미만,10만원,제한없음,2.8
031,대구은행,IM스마트예금,비대면채널 전용상품으로 조건 충족 시 추가 우대금리를 지급하는 정기예금,12개월 이상,24개월 미만,100만원,제한없음,3.75
031,대구은행,IM스마트예금,비대면채널 전용상품으로 조건 충족 시 추가 우대금리를 지급하는 정기예금,36개월,36개월,100만원,제한없음,3.2
031,대구은행,IM스마트예금,비대면채널 전용상품으로 조건 충족 시 추가 우대금리를 지급하는 정기예금,1개월 이상,3개월 미만,100만원,제한없음,2.2
031,대구은행,IM스마트예금,비대면채널 전용상품으로 조건 충족 시 추가 우대금리를 지급하는 정기예금,24개월 이상,36개월 미만,100만원,제한없음,3.2
031,대구은행,IM스마트예금,비대면채널 전용상품으로 조건 충족 시 추가 우대금리를 지급하는 정기예금,3개월 이상,6개월 미만,100만원,제한없음,2.4
031,대구은행,IM스마트예금,비대면채널 전용상품으로 조건 충족 시 추가 우대금리를 지급하는 정기예금,6개월 이상,12개월 미만,100만원,제한없음,2.8
031,대구은행,복리회전예금,"회전주기마다 이자가 복리로 계산되며, (최초 복리회전기간 경과 후) 중도 해지시에도 이자의 손해가 없는 정기예금",12개월,60개월,100만원,제한없음,2.18
031,대구은행,복리회전예금,"회전주기마다 이자가 복리로 계산되며, (최초 복리회전기간 경과 후) 중도 해지시에도 이자의 손해가 없는 정기예금",12개월,60개월,100만원,제한없음,1.95
032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",6개월 이상,12개월 미만,100원,제한없음,2.55
032,부산은행,메리트정기예금,시장실세금리에 연동한 약정금리를 만기일까지 적용하는 확정금리 정기예금으로 단기 고금리 상품입,1개월 이상,3개월 미만,5백만원,제한없음,2.25
032,부산은행,LIVE정기예금,특판 전용 정기예금,24개월 이상,36개월 미만,1천만원,제한없음,2.8
031,대구은행,파랑새정기예금,기한부 저축성 예금으로 목돈을 운용하는데 적합한 정기예금,1개월 이상,3개월 미만,100원,제한없음,1.65
004,국민은행,일반정기예금,목돈을 일정기간동안 예치하여 안정적인 수익을 목적으로 하는 일시예치식 예금,36개월 이상,60개월,10만원,제한없음,3.0
C10,조흥저축은행,e-정기예금(단리),비대면정기예금 단리식,12개월,12개월,10만원,제한없음,4.5
A08,대신저축은행,스마트 회전정기예금,회전주기(매1년) 단위로 약정이율이 변동되는 모바일전용 회전정기예금,36개월,36개월,10만원,제한없음,4.2
A08,대신저축은행,회전정기예금,회전주기(매1년) 단위로 약정이율이 변동되는 영업점전용 회전정기예금,36개월,36개월,10만원,제한없음,4.2
A08,대신저축은행,대신든든정기예금,"금융사기 피해예방을 위한 오프라인 전용(신규,해지) 예금 상품",12개월,12개월,10만원,제한없음,4.2
A08,대신저축은행,대신든든정기예금,"금융사기 피해예방을 위한 오프라인 전용(신규,해지) 예금 상품",13개월,13개월,10만원,제한없음,4.25
A08,대신저축은행,대신든든정기예금,"금융사기 피해예방을 위한 오프라인 전용(신규,해지) 예금 상품",24개월,24개월,10만원,제한없음,3.65
A07,SBI저축은행,e_SeedMoney정기예금,e-SeedMoney정기적금 만기해약 고객 대상으로 우대금리 제공,12개월,12개월,10만원,e-SeedMoney정기적금 만기해약금액 이하,3.6
A08,대신저축은행,대신든든정기예금,"금융사기 피해예방을 위한 오프라인 전용(신규,해지) 예금 상품",36개월,36개월,10만원,제한없음,3.65
A08,대신저축은행,스마트정기예금,"복잡한 우대금리 조건 없이 여유자금을 일정기간 예치하고, 높은 수익을 보장 받을 수 있는 모바일 전용상품",3개월,3개월,10만원,제한없음,2.0
A08,대신저축은행,스마트정기예금,"복잡한 우대금리 조건 없이 여유자금을 일정기간 예치하고, 높은 수익을 보장 받을 수 있는 모바일 전용상품",6개월,6개월,10만원,제한없음,3.6
A08,대신저축은행,스마트정기예금,"복잡한 우대금리 조건 없이 여유자금을 일정기간 예치하고, 높은 수익을 보장 받을 수 있는 모바일 전용상품",12개월,12개월,10만원,제한없음,4.1
A08,대신저축은행,스마트정기예금,"복잡한 우대금리 조건 없이 여유자금을 일정기간 예치하고, 높은 수익을 보장 받을 수 있는 모바일 전용상품",24개월,24개월,10만원,제한없음,3.5
A08,대신저축은행,스마트정기예금,"복잡한 우대금리 조건 없이 여유자금을 일정기간 예치하고, 높은 수익을 보장 받을 수 있는 모바일 전용상품",36개월,36개월,10만원,제한없음,3.5
A08,대신저축은행,정기예금,"여유자금을 일정기간 예치하고, 높은 수익을 보장 받을 수 있는 상품",3개월,3개월,10만원,제한없음,2.0
A08,대신저축은행,정기예금,"여유자금을 일정기간 예치하고, 높은 수익을 보장 받을 수 있는 상품",6개월,6개월,10만원,제한없음,3.6
A08,대신저축은행,정기예금,"여유자금을 일정기간 예치하고, 높은 수익을 보장 받을 수 있는 상품",12개월,12개월,10만원,제한없음,4.1
A08,대신저축은행,정기예금,"여유자금을 일정기간 예치하고, 높은 수익을 보장 받을 수 있는 상품",24개월,24개월,10만원,제한없음,3.4
A08,대신저축은행,정기예금,"여유자금을 일정기간 예치하고, 높은 수익을 보장 받을 수 있는 상품",36개월,36개월,10만원,제한없음,3.4
D07,머스트삼일저축은행,정기예금 단리식,일정금액을 일정기간 동안 예치하여 월 단위 정해진 이자를 받은 상품으로 목돈 운용에 적합,3개월 이상,6개월 미만,10만원 이상,제한없음,1.0
D05,드림저축은행,톡톡 정기예금(복리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,24개월 이상,36개월 미만,10만원 이상,제한없음,3.1
D07,머스트삼일저축은행,정기예금 단리식,일정금액을 일정기간 동안 예치하여 월 단위 정해진 이자를 받은 상품으로 목돈 운용에 적합,6개월 이상,12개월 미만,10만원 이상,제한없음,3.0
004,국민은행,일반정기예금,목돈을 일정기간동안 예치하여 안정적인 수익을 목적으로 하는 일시예치식 예금,3개월 이상,6개월 미만,10만원,제한없음,2.0
088,신한은행,Tops보증 정기예금,회전기간 단위로 계약기간 이내에서 이자율이 변경 적용되는 정기예금,12개월 이상,60개월 이하,3백만원 이상,제한없음,2.15
C01,BNK저축은행,삼삼한정기예금(복리식),예치기간 또는 매일의 예치잔액에 따라 정해진 해당이율을 적용하는 예금 상품,36개월,36개월,10만원,제한없음,4.3
D05,드림저축은행,톡톡 정기예금(복리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,36개월,36개월,10만원 이상,제한없음,2.6
C01,BNK저축은행,삼삼한정기예금(단리식),매1년 회전주기 단위로 약정이율이 변동되는 거치식 예금,36개월,36개월,10만원,제한없음,4.3
C01,BNK저축은행,정기예금(복리식),여유자금을 일정기간 예치하고 만기시 또는 매달 이자를 받고 만기일에 원금을 받는 상품,1개월 이상,3개월 미만,10만원,제한없음,2.1
C01,BNK저축은행,정기예금(복리식),여유자금을 일정기간 예치하고 만기시 또는 매달 이자를 받고 만기일에 원금을 받는 상품,3개월 이상,6개월 미만,10만원,제한없음,2.4
C01,BNK저축은행,정기예금(복리식),여유자금을 일정기간 예치하고 만기시 또는 매달 이자를 받고 만기일에 원금을 받는 상품,6개월 이상,12개월 미만,10만원,제한없음,3.0
C01,BNK저축은행,정기예금(복리식),여유자금을 일정기간 예치하고 만기시 또는 매달 이자를 받고 만기일에 원금을 받는 상품,12개월 이상,24개월 미만,10만원,제한없음,4.2
C01,BNK저축은행,정기예금(복리식),여유자금을 일정기간 예치하고 만기시 또는 매달 이자를 받고 만기일에 원금을 받는 상품,24개월 이상,36개월 미만,10만원,제한없음,3.2
C01,BNK저축은행,정기예금(복리식),여유자금을 일정기간 예치하고 만기시 또는 매달 이자를 받고 만기일에 원금을 받는 상품,36개월,36개월,10만원,제한없음,3.0
C01,BNK저축은행,정기예금(단리식),여유자금을 일정기간 예치하고 만기시 또는 매달 이자를 받고 만기일에 원금을 받는 상품,1개월 이상,3개월 미만,10만원,제한없음,2.1
C01,BNK저축은행,정기예금(단리식),여유자금을 일정기간 예치하고 만기시 또는 매달 이자를 받고 만기일에 원금을 받는 상품,3개월 이상,6개월 미만,10만원,제한없음,2.4
C01,BNK저축은행,정기예금(단리식),여유자금을 일정기간 예치하고 만기시 또는 매달 이자를 받고 만기일에 원금을 받는 상품,6개월 이상,12개월 미만,10만원,제한없음,3.0
C01,BNK저축은행,정기예금(단리식),여유자금을 일정기간 예치하고 만기시 또는 매달 이자를 받고 만기일에 원금을 받는 상품,12개월 이상,24개월 미만,10만원,제한없음,4.2
C01,BNK저축은행,정기예금(단리식),여유자금을 일정기간 예치하고 만기시 또는 매달 이자를 받고 만기일에 원금을 받는 상품,24개월 이상,36개월 미만,10만원,제한없음,3.2
C01,BNK저축은행,정기예금(단리식),여유자금을 일정기간 예치하고 만기시 또는 매달 이자를 받고 만기일에 원금을 받는 상품,36개월,36개월,10만원,제한없음,3.0
C10,조흥저축은행,e-정기예금(단리),비대면정기예금 단리식,24개월,24개월,10만원,제한없음,3.6
C09,우리저축은행,정기예금(단리),목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금상품,1개월,1개월,10만원,제한없음,1.0
C09,우리저축은행,정기예금(단리),목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금상품,3개월,3개월,10만원,제한없음,1.5
C09,우리저축은행,정기예금(단리),목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금상품,6개월,6개월,10만원,제한없음,1.9
C09,우리저축은행,정기예금(단리),목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금상품,12개월,12개월,10만원,제한없음,4.5
C09,우리저축은행,정기예금(단리),목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금상품,18개월,18개월,10만원,제한없음,3.0
C09,우리저축은행,정기예금(단리),목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금상품,24개월,24개월,10만원,제한없음,1.0
C09,우리저축은행,정기예금(복리),목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금상품,1개월,1개월,10만원,제한없음,1.0
C09,우리저축은행,정기예금(복리),목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금상품,3개월,3개월,10만원,제한없음,1.5
C09,우리저축은행,정기예금(복리),목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금상품,6개월,6개월,10만원,제한없음,1.9
C09,우리저축은행,정기예금(복리),목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금상품,12개월,12개월,10만원,제한없음,4.5
C09,우리저축은행,정기예금(복리),목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금상품,18개월,18개월,10만원,제한없음,3.0
C09,우리저축은행,정기예금(복리),목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금상품,24개월,24개월,10만원,제한없음,1.0
C10,조흥저축은행,e-정기예금(단리),비대면정기예금 단리식,1개월,1개월,10만원,제한없음,0.8
C10,조흥저축은행,e-정기예금(단리),비대면정기예금 단리식,3개월,3개월,10만원,제한없음,2.5
C10,조흥저축은행,e-정기예금(단리),비대면정기예금 단리식,6개월,6개월,10만원,제한없음,4.5
C10,조흥저축은행,e-정기예금(단리),비대면정기예금 단리식,36개월,36개월,10만원,제한없음,3.6
E04,삼호저축은행,정기예금(단리식),일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 만료되었을때 정해진 이자를 받는 상품,12개월 이상,24개월 미만,10만원 이상,제한없음,3.8
F05,오투저축은행,복리정기예금,일정기간 동안 목돈을 예치하고 만기에 이자를 지급 받는 거치식 상품,3개월이상,6개월미만,10만원이상,제한없음,3.0
B03,남양저축은행,비대면-정기예금단리식,"일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 
만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합",1개월 이상,3개월 미만,10만원,제한없음,2.0
B03,남양저축은행,비대면-정기예금단리식,"일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 
만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합",3개월 이상,6개월 미만,10만원,제한없음,2.5
B03,남양저축은행,비대면-정기예금단리식,"일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 
만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합",6개월 이상,12개월 미만,10만원,제한없음,3.0
D02,대백저축은행,정기예금복리식,여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,6개월 이상,12개월 미만,"100,000원 이상",제한없음,3.8
B03,남양저축은행,비대면-정기예금단리식,"일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 
만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합",12개월 이상,18개월 미만,10만원,제한없음,4.3
B03,남양저축은행,비대면-정기예금단리식,"일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 
만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합",18개월 이상,24개월 이하,10만원,제한없음,3.3
B03,남양저축은행,비대면-정기예금복리식,"일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 
만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합",1개월 이상,3개월 미만,10만원,제한없음,2.0
B03,남양저축은행,비대면-정기예금복리식,"일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 
만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합",3개월 이상,6개월 미만,10만원,제한없음,2.5
B03,남양저축은행,비대면-정기예금복리식,"일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 
만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합",12개월 이상,18개월 미만,10만원,제한없음,4.1
B03,남양저축은행,비대면-정기예금복리식,"일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 
만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합",18개월 이상,24개월 이하,10만원,제한없음,3.3
032,부산은행,LIVE정기예금,특판 전용 정기예금,6개월 이상,12개월 미만,1천만원,제한없음,2.55
B04,모아저축은행,회전정기예금,"회전주기(1년)마다 12개월 정기예금 금리에
 0.1%를 더해 자동 재예치되는 상품",36개월,60개월,10만원,제한없음,4.1
B04,모아저축은행,정기예금,일정기간 동안 목돈을 예치하고 이자를 지급받는 온라인 전용 목돈운용 상품,1개월 이상,3개월 미만,10만원,제한없음,2.1
B04,모아저축은행,정기예금,일정기간 동안 목돈을 예치하고 이자를 지급받는 온라인 전용 목돈운용 상품,3개월 이상,6개월 미만,10만원,제한없음,2.2
B04,모아저축은행,정기예금,일정기간 동안 목돈을 예치하고 이자를 지급받는 온라인 전용 목돈운용 상품,6개월 이상,18개월 미만,10만원,제한없음,4.0
B04,모아저축은행,정기예금,일정기간 동안 목돈을 예치하고 이자를 지급받는 온라인 전용 목돈운용 상품,18개월 이상,24개월 이하,10만원,제한없음,3.5
D05,드림저축은행,정기예금(복리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금 (매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식),9개월 이상,12개월 미만,10만원 이상,제한없음,3.5
A06,OSB저축은행,단리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",6개월 이상,9개월 미만,10만원,제한없음,4.3
Z03,카카오뱅크,정기예금,"자유롭게 기간을 정하고, 일정한 금액을 한번에 예치하여 목돈을 굴리는 상품 ? 급하게 돈이 필요한 경우 해지 없이도 가입금액 중 일부를 출금할 수 있고, 자동해지, 자동연장 등 만기도 자동으로 관리 가능",3개월이상,6개월미만,100만원이상,제한없음,3.2
020,우리은행,정기예금,원하는 기간동안 자유롭게 목돈 굴리기,6개월 이상,12개월 미만,제한없음,제한없음,2.3
A10,민국저축은행,e-행복정기예금단리식,인터넷뱅킹을 이용하여 가입가능한 목돈굴리기 상품입니다.,1개월 이상,3개월 미만,10만원,제한없음,1.6
A10,민국저축은행,e-행복정기예금단리식,인터넷뱅킹을 이용하여 가입가능한 목돈굴리기 상품입니다.,18개월 이상,36개월 이하,10만원,제한없음,3.0
A17,웰컴저축은행,정기예금 (복리),여유자금을 일정기간 동안 확정금리로 예치하여 이자 수익을 얻을 수 있는 거치식 상품,1개월이상,3개월미만,10만원이상,제한없음,0.5
A10,민국저축은행,e-행복정기예금복리식,인터넷뱅킹을 이용하여 가입가능한 목돈굴리기 상품입니다.,1개월 이상,3개월 미만,10만원,제한없음,1.6
A10,민국저축은행,e-행복정기예금복리식,인터넷뱅킹을 이용하여 가입가능한 목돈굴리기 상품입니다.,6개월 이상,12개월 미만,10만원,제한없음,2.5
A10,민국저축은행,e-행복정기예금복리식,인터넷뱅킹을 이용하여 가입가능한 목돈굴리기 상품입니다.,12개월 이상,18개월 미만,10만원,제한없음,3.8
A10,민국저축은행,e-행복정기예금복리식,인터넷뱅킹을 이용하여 가입가능한 목돈굴리기 상품입니다.,18개월 이상,36개월 이하,10만원,제한없음,3.0
A17,웰컴저축은행,정기예금 (복리),여유자금을 일정기간 동안 확정금리로 예치하여 이자 수익을 얻을 수 있는 거치식 상품,3개월이상,6개월미만,10만원이상,제한없음,1.3
A17,웰컴저축은행,정기예금 (복리),여유자금을 일정기간 동안 확정금리로 예치하여 이자 수익을 얻을 수 있는 거치식 상품,6개월이상,12개월미만,10만원이상,제한없음,2.5
B05,부림저축은행,톡톡정기예금(단리식),"목돈을 일정기간동안 예치하고 매월 이자를 받는 목돈 굴리기 상품
 영업점을 방문하지않고 가입이 가능한 상품입니다.(비대면전용상품)",3개월 이상,6개월 미만,10만원,제한없음,2.2
B05,부림저축은행,톡톡정기예금(단리식),"목돈을 일정기간동안 예치하고 매월 이자를 받는 목돈 굴리기 상품
 영업점을 방문하지않고 가입이 가능한 상품입니다.(비대면전용상품)",6개월 이상,12개월 미만,10만원,제한없음,3.4
B05,부림저축은행,톡톡정기예금(단리식),"목돈을 일정기간동안 예치하고 매월 이자를 받는 목돈 굴리기 상품
 영업점을 방문하지않고 가입이 가능한 상품입니다.(비대면전용상품)",12개월 이상,24개월 미만,10만원,제한없음,3.9
B05,부림저축은행,톡톡정기예금(단리식),"목돈을 일정기간동안 예치하고 매월 이자를 받는 목돈 굴리기 상품
 영업점을 방문하지않고 가입이 가능한 상품입니다.(비대면전용상품)",24개월,24개월,10만원,제한없음,2.9
B05,부림저축은행,톡톡정기예금(복리식),"목돈을? 일정기간동안 예치하고? 원금과? 이자를? 함께? 받는? 목돈굴리기상품
 영업점을? 방문하지않고 ?가입이 가능한 상품입니다.? ? ? ?",1개월 이상,3개월 미만,10만원,제한없음,2.0
B05,부림저축은행,정기예금(복리식),목돈을 일정기간동안 예치하고 원금과 이자를 함께 받는 목돈 굴리기 상품 (창구 전용),1개월 이상,3개월 미만,10만원,제한없음,2.0
B05,부림저축은행,톡톡정기예금(복리식),"목돈을? 일정기간동안 예치하고? 원금과? 이자를? 함께? 받는? 목돈굴리기상품
 영업점을? 방문하지않고 ?가입이 가능한 상품입니다.? ? ? ?",3개월 이상,6개월 미만,10만원,제한없음,2.2
